# Reference (vacuum, no NP/molecule) electric field intensity in atomic units

Timestamps (au),X Values,Y Values,Z Values
0.100072554,0.0,0.0,0.0
0.200145108,0.0,0.0,0.0
0.300217662,0.0,0.0,0.0
0.400290216,0.0,0.0,0.0
0.50036277,0.0,0.0,0.0
0.600435324,0.0,0.0,0.0
0.700507878,0.0,0.0,0.0
0.800580432,0.0,0.0,0.0
0.900652986,0.0,0.0,0.0
1.00072554,0.0,0.0,0.0
1.100798094,0.0,0.0,0.0
1.200870648,0.0,0.0,0.0
1.300943202,0.0,0.0,0.0
1.401015756,0.0,0.0,0.0
1.50108831,0.0,0.0,0.0
1.601160864,0.0,0.0,0.0
1.701233418,0.0,0.0,0.0
1.801305972,0.0,0.0,0.0
1.901378526,0.0,0.0,0.0
2.00145108,0.0,0.0,0.0
2.101523634,0.0,0.0,0.0
2.201596188,0.0,0.0,0.0
2.301668742,0.0,0.0,0.0
2.401741296,0.0,0.0,0.0
2.50181385,0.0,0.0,0.0
2.601886404,0.0,0.0,0.0
2.701958958,0.0,0.0,0.0
2.802031512,0.0,0.0,0.0
2.902104066,0.0,0.0,0.0
3.00217662,0.0,0.0,0.0
3.102249174,0.0,0.0,0.0
3.202321728,0.0,0.0,0.0
3.302394282,0.0,0.0,0.0
3.402466836,0.0,0.0,0.0
3.50253939,0.0,0.0,0.0
3.602611944,0.0,0.0,0.0
3.702684498,0.0,0.0,0.0
3.802757052,0.0,0.0,0.0
3.902829606,0.0,0.0,0.0
4.00290216,0.0,0.0,0.0
4.102974714,0.0,0.0,0.0
4.203047268,0.0,0.0,0.0
4.303119822,0.0,0.0,0.0
4.403192376,0.0,0.0,0.0
4.50326493,0.0,0.0,0.0
4.603337484,0.0,3.4877934552760535e-48,0.0
4.703410038,0.0,2.712032311516438e-46,0.0
4.803482592,0.0,1.0624480801262052e-44,0.0
4.903555146,0.0,2.795556121203089e-43,0.0
5.0036277,0.0,5.5573778217885814e-42,0.0
5.103700254,0.0,8.901915344909535e-41,0.0
5.203772808,0.0,1.1966862352561967e-39,0.0
5.303845362,0.0,1.3884759450714667e-38,0.0
5.403917916,0.0,1.4192427950727242e-37,0.0
